tick,t,ms_per_tick,fauna_n,flora_n,capacity,free_slots,flora_mass,flora_mass_mean,struct_mean,struct_std,uptake_mean,uptake_std,cells_occupied,per_cell_max,per_cell_mean,shared_cell_frac,struct_temp_corr,uptake_nutr_corr,uptake_mass_corr,flora_band0,struct_band0,flora_band1,struct_band1,flora_band2,struct_band2,flora_band3,struct_band3,flora_band4,struct_band4,flora_band5,struct_band5,flora_band6,struct_band6,flora_band7,struct_band7,nutr_free,nutr_in_flora,nutr_in_detritus,nutr_total,nutr_added,nutr_lost,nutr_unaccounted,detritus_mass,detritus_cells,detritus_struct,fauna_mass,label
0,0.0,0.0353,12,128,256,116,0.045513171891798265,0.00035557165540467395,0.5761594178620726,0.14363133703693706,0.6452383771538734,0.18295928674279385,128,1,1.0,0.0,0.17063976743223772,0.0,0.04007453709194643,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,12,0.5848491688569387,16,0.5718473792076111,24,0.5905797816812992,14,0.5886646807193756,0.0,0.0007060730424039477,0.0,0.0007060730424039477,0.0,0.0,0.0007060730424039477,0.0,0,0.0,7.300537331031203,bas1
500,10.0,2.8153,12,129,256,115,0.045542301533714635,0.0003530410971605786,0.5763827130313992,0.1430958454137114,0.6467002584028614,0.18299770447215455,129,1,1.0,0.0,0.1647741921762636,0.14916902316126793,0.007851418627900607,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,12,0.5848491688569387,16,0.5718473792076111,24,0.5905797816812992,15,0.5897513349850972,3.230611321272577e-05,0.0007064859454413229,6.396277100594213e-09,0.0007387984549311492,3.276799999999991e-05,3.3362812418043766e-11,0.0007060304882939618,3.1830326179260737e-06,4,0.9996945261955261,7.992682720651606,bas1
1000,20.0,2.7713,12,129,256,115,0.04558019086107379,0.000353334812876541,0.5763827130313992,0.1430958454137114,0.6467002584028614,0.18299770447215455,129,1,1.0,0.0,0.15542172410068109,0.1552560164098842,0.005231409818019559,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,12,0.5848491688569387,16,0.5718473792076111,24,0.5905797816812992,15,0.5897513349850972,6.423359353122358e-05,0.0007068596093544996,2.6500815933474702e-08,0.0007711197037016566,6.553600000000026e-05,2.366715273181987e-10,0.0007055839403731837,1.2693275323272246e-05,12,0.9977006912231445,8.417747823460827,bas1
1500,30.0,2.7533,12,129,256,115,0.04525922963875928,0.00035084674138573084,0.5741904190806455,0.1426698729980635,0.6471932507300562,0.18310560530537834,129,1,1.0,0.0,0.1370832725886214,0.16907582821643102,-0.00726104609217469,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,13,0.5753720311018137,16,0.5718473792076111,23,0.5838896722897239,15,0.5897513349850972,9.688466119174756e-05,0.0007036597630525323,2.662620929699033e-06,0.0008032070451739789,9.830400000000354e-05,1.1611136058223468e-07,0.0007050191565345576,0.00034813860946769637,22,0.9900960326194763,8.694514272015864,bas1
2000,40.0,2.7448,12,129,256,115,0.0453480313772161,0.0003515351269551636,0.5741904190806455,0.1426698729980635,0.6471932507300562,0.18310560530537834,129,1,1.0,0.0,0.12740219061717584,0.1669378691237565,-0.008851744942633417,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,13,0.5753720311018137,16,0.5718473792076111,23,0.5838896722897239,15,0.5897513349850972,0.00012924420818422727,0.0007048628075574379,1.4974511495602674e-06,0.0008356044668912254,0.00013107200000000494,2.348806660174674e-07,0.000704767347557238,0.00029363056211195726,30,0.9956651329994202,8.857344908974692,bas1
2500,50.0,2.7287,12,130,256,114,0.04546485565515468,0.00034972965888580525,0.5743948498597512,0.14213904904372732,0.647318984911992,0.1824055837097712,130,1,1.0,0.0,0.11642527615057048,0.15967017210624856,-0.012029192537578516,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,13,0.5753720311018137,16,0.5718473792076111,23,0.5838896722897239,16,0.5904397778213024,0.0001607903176102768,0.0007065139191409903,9.339897103533233e-07,0.0008682382264616204,0.00016384000000000144,2.9281067538446243e-07,0.0007046910371370035,0.0002564567535614515,35,0.9980567693710327,8.990433197865187,bas1
3000,60.0,2.7148,12,133,256,111,0.04559869858348975,0.0003428473577705996,0.5751541003696901,0.1406460622873137,0.6504902427357838,0.18204184566571804,132,2,1.0075757575757576,0.015037593984962405,0.10980899142013933,0.1437194831039276,-0.06587066123294236,18,0.5430584284994338,12,0.6191241790850958,12,0.5958614697058996,20,0.540527880191803,15,0.5802156567573548,16,0.5718473792076111,23,0.5838896722897239,17,0.5910472273826599,0.00019179743899670957,0.0007083559575528887,6.598812129875073e-07,0.0009008132777625858,0.00019660799999999794,3.222607813422701e-07,0.0007045275385439301,0.00023154804105729454,42,0.9979292750358582,9.095066204715298,bas1
3500,70.0,2.7202,13,136,256,107,0.04574649891583249,0.00033637131555759185,0.5727854377644903,0.14071755080708967,0.6522808333530146,0.1810324906866077,135,2,1.0074074074074073,0.014705882352941176,0.09922225795496062,0.1344735882544788,-0.08969463852358055,18,0.5430584284994338,13,0.6019622202102954,12,0.5958614697058996,20,0.540527880191803,16,0.5690984893590212,16,0.5718473792076111,23,0.5838896722897239,18,0.5918204089005789,0.00022238242957654976,0.0007103064782681956,5.205245350876917e-07,0.0009332094323798331,0.00022937599999999444,3.3851775048269896e-07,0.0007041719501303213,0.0002137600668277173,51,0.9980589747428894,9.337833464456434,bas1
4000,80.0,2.7293,13,137,256,106,0.0459281996700156,0.0003352423333577781,0.5729535537479568,0.14021674968450154,0.6505648193568209,0.18147734069878999,136,2,1.0073529411764706,0.014598540145985401,0.10344111875780598,0.13802928917476565,-0.06108712771597401,18,0.5430584284994338,13,0.6019622202102954,12,0.5958614697058996,21,0.5431607110159737,16,0.5690984893590212,16,0.5718473792076111,23,0.5838896722897239,18,0.5918204089005789,0.00025264354325951733,0.0007128260269721293,4.307617841485458e-07,0.0009659003320157953,0.0002621439999999984,3.485111353859556e-07,0.0007041048431511829,0.00019385423726703266,55,0.9990275502204895,9.415471833735229,bas1
4500,90.0,2.735,13,138,256,105,0.046130201928463066,0.0003342768255685729,0.5731192332678947,0.13972125247623668,0.648873675128688,0.181898841547504,137,2,1.0072992700729928,0.014492753623188406,0.1110597482704584,0.14415796902561945,-0.034745753676961894,18,0.5430584284994338,13,0.6019622202102954,12,0.5958614697058996,22,0.5455541935834017,16,0.5690984893590212,16,0.5718473792076111,23,0.5838896722897239,18,0.5918204089005789,0.0002826041002928078,0.0007155837700266066,3.7079004588018656e-07,0.0009985586603652946,0.00029491200000000844,3.5522749485881687e-07,0.0007040018878601451,0.00017542334899189882,58,0.9995033740997314,9.482909352177685,bas1
